Question,Answer,Category,Keyword
What is Windhoek like?,"Windhoek is a modern capital with German colonial architecture, good restaurants, museums, and serves as the gateway to Namibia's attractions.",tourism,cities
Can I see the Big Five in Namibia?,"Yes! You can see lions, leopards, elephants, rhinos, and buffalo in Etosha and other national parks, though buffalo are less common.",wildlife,big_five
What is a desert-adapted elephant?,"Desert-adapted elephants have longer legs and larger feet for walking on sand, and can survive for days without water - unique to Namibia and Mali.",wildlife,elephants
Are there cheetahs in Namibia?,"Yes! Namibia has the largest population of free-ranging cheetahs in the world (about 3,000), with excellent conservation programs.",wildlife,cheetahs
What is the conservation status in Namibia?,"Namibia is a world leader in conservation with 42% of land under protection and successful community-based conservation programs.",environment,conservation
What is communal conservancy?,"Communal conservancies are community-managed wildlife areas where locals benefit from tourism, creating incentives for conservation.",economy,tourism
How is healthcare in Namibia?,"Namibia has both public and private healthcare. Major cities have good facilities, while rural areas may have limited services.",society,healthcare
What is the life expectancy in Namibia?,"Life expectancy in Namibia is about 64 years, having improved significantly since independence but challenged by HIV/AIDS.",demographics,health
What is the unemployment rate?,"Unemployment is around 20-30%, with youth unemployment being particularly high - a major challenge for the country.",economy,employment
What are Namibia's main exports?,"Diamonds, uranium, gold, zinc, lead, fish products, beef, and grapes are Namibia's main exports, mostly to South Africa and Europe.",economy,trade
What is the mining industry like?,"Mining contributes 12% to GDP, with diamonds (De Beers), uranium (Rössing mine), and more recently, lithium and oil discoveries.",economy,mining
What is the agricultural sector like?,"Agriculture employs many Namibians, with livestock (cattle, sheep), crops (maize, millet), and emerging sectors like grapes and dates.",economy,agriculture
What is the fishing industry like?,"Fishing is important along the Atlantic coast, with hake, sardines, and anchovies being caught, though stocks need careful management.",economy,fishing
What is Namibia's relationship with South Africa?,"South Africa is Namibia's largest trading partner and former colonial power. Relations are generally good though complex due to history.",politics,international
What is the Caprivi Strip?,"Now called Zambezi Region, it's a narrow strip extending northeast, important for access to the Zambezi River and bordering four countries.",geography,regions
What is the Kunene Region known for?,"Kunene Region in northwest Namibia is home to the Himba people, desert-adapted wildlife, and the Epupa Falls on the Kunene River.",geography,regions
What are the Hardap and Naute Dams?,"These are major dams providing irrigation and water supply in southern Namibia, creating important agricultural and recreation areas.",geography,water
What is the Orange River?,"The Orange River forms Namibia's southern border with South Africa, important for irrigation, especially in the wine-growing region.",geography,rivers
What is the Okavango River?,"The Okavango River flows from Angola through Namibia to Botswana's Okavango Delta, providing vital water in the northeast.",geography,rivers
What is Walvis Bay?,"Walvis Bay is Namibia's main deep-sea port and industrial center, important for fishing, shipping, and recently, oil discoveries.",tourism,cities
What is Lüderitz known for?,"Lüderitz is a coastal town with German colonial architecture and nearby ghost mining towns like Kolmanskop being consumed by sand.",tourism,cities
What is Tsumeb?,"Tsumeb is a mining town in northern Namibia known for its rich mineral deposits and as the gateway to Etosha National Park.",tourism,cities
What is the history of German colonization?,"Germany colonized Namibia (1884-1915) as German South West Africa, leaving architectural influences and a painful history including the Herero genocide.",history,colonial
What happened to the Herero and Nama people?,"During 1904-1908, German forces killed about 80,000 Herero and Nama people in what's now recognized as the first genocide of the 20th century.",history,genocide
What is the apology from Germany?,"Germany has acknowledged the genocide and agreed to pay €1.1 billion over 30 years for reconstruction and development projects in affected communities.",politics,international
What is Namibia's colonial history?,"After German rule, South Africa administered Namibia under League of Nations mandate (1915-1990), imposing apartheid policies.",history,colonial
What was the liberation struggle?,"SWAPO led an armed struggle (1966-1989) against South African rule, culminating in independence negotiations and UN-supervised elections.",history,independence
Who was Sam Nujoma?,"Sam Nujoma was Namibia's first president (1990-2005) and founding father, leading SWAPO during the liberation struggle.",history,people
Who was Hage Geingob?,"Hage Geingob was Namibia's third president (2015-2024), a key independence negotiator, and advocate for good governance and economic transformation.",history,people
What is the political system?,"Namibia is a multiparty democracy with a president as head of state and government, and a bicameral parliament.",politics,government
How stable is Namibia politically?,"Namibia is one of Africa's most stable democracies with peaceful transitions of power and strong institutions since independence.",politics,stability
What are the main political parties?,"SWAPO (ruling party), Popular Democratic Movement (PDM), Landless People's Movement (LPM), and others form the political landscape.",politics,parties
What are current political issues?,"Land reform, economic inequality, youth unemployment, corruption, and drought management are key issues in Namibian politics.",politics,issues
What is land reform in Namibia?,"Land reform aims to redistribute agricultural land from white commercial farmers to previously disadvantaged Namibians, a complex and sensitive process.",politics,land
What is the judiciary system like?,"Namibia has an independent judiciary based on Roman-Dutch law, with a Supreme Court, High Court, and lower courts.",politics,justice
What is Namibia's foreign policy?,"Namibia follows a policy of non-alignment, active in African Union, SADC, and UN, with strong ties to China, Germany, and South Africa.",politics,international
